Date/Time,Code Space,ID,Sensor 1,Units 1,Sensor 2,Units 2,Transmitter Name,Transmitter S/N,Receiver Name,Receiver S/N,Station Name,Station Latitude,Station Longitude
2011-03-18 22:44:19,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:45:01,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:45:35,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:45:54,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:46:14,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:46:35,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:46:57,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:47:24,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:47:58,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:48:17,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:48:37,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:48:58,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:49:21,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:49:47,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:50:21,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:50:40,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:51:00,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:51:20,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:51:42,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:52:06,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:52:36,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-18 22:55:17,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-20 16:54:57,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-20 16:58:20,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-20 16:58:55,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
2011-03-20 16:59:18,A69-1303,62423,,,,,,,VR2W-111433,111433,,,
