Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
9/24/2010 13:52,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 21:44,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:36,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:49,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:50,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:51,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:52,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:53,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:54,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:55,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:57,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 22:58,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 23:04,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 23:06,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
9/30/2010 23:29,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 12:23,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 12:46,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:18,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:21,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:25,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:33,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:34,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:36,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:37,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:39,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:41,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:43,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:44,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:46,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:47,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:51,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:52,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:53,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:54,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:55,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:57,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 22:58,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 23:01,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 23:06,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 23:12,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
10/1/2010 23:14,VR2W-110873,A69-1303-48368,,,,,02WPH90,30.38908,-88.60709
