Date/Time,Code Space,ID,Sensor 1,Units 1,Sensor 2,Units 2,Transmitter Name,Transmitter S/N,Receiver Name,Receiver S/N,Station Name,Station Latitude,Station Longitude
2012-02-28 05:46:44,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:47:31,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:51:17,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:52:21,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:52:56,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:53:31,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:54:08,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:54:47,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:55:32,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:56:28,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:57:47,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:58:51,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:59:25,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 05:59:59,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 06:00:33,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 06:01:09,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 06:01:47,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-02-28 06:02:28,A69-1303,51907,,,,,,,VR2W-114974,114974,,,
2012-09-13 18:41:57,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-13 18:45:42,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-13 18:49:10,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-13 18:52:02,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-13 18:55:42,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-13 18:58:59,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 01:40:35,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 01:43:03,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 01:45:56,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 01:49:38,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 01:52:59,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 01:55:38,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 01:58:52,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 12:42:36,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 12:45:21,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 12:48:49,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 12:51:42,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
2012-09-14 12:55:23,A69-1303,46049,,,,,,,VR2W-114974,114974,,,
